AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
AMC51772.1	TM+TM	TM+TM	-	270	RN06_3319	Mycobacterium bovis BCG	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium bovis BCG]	984957674
AMC56165.1	TM+TM	TM+TM	-	270	RN07_2934	Mycobacterium bovis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium bovis]	984962068
AMC60456.1	TM+TM	TM+TM	-	270	RN08_3029	Mycobacterium microti	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium microti]	984966360
AMC68403.1	TM+TM	TM+TM	-	270	RN10_1857	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984974309
AMC74210.1	TM+TM	TM+TM	-	270	RN11_3200	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984980117
AMC78557.1	TM+TM	TM+TM	-	270	RN12_2948	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984984465
AMC82767.1	TM+TM	TM+TM	-	270	RN13_2948	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984988676
AMC86960.1	TM+TM	TM+TM	-	270	RN14_2912	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984992870
AMC91165.1	TM+TM	TM+TM	-	270	RN15_2933	Mycobacterium tuberculosis	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium tuberculosis]	984997076
AMO11122.1	TM+TM	TM+TM	-	270	AZH48_14145	Mycobacterium bovis BCG str. Tokyo 172	bacteria>actinobacteria	hypothetical protein AZH48_14145 [Mycobacterium bovis BCG str. Tokyo 172]	1003105810 
ANG88455.1	TM+TM	TM+TM	-	270	SZ58_009075	Mycobacterium bovis	bacteria>actinobacteria	hypothetical protein SZ58_009075 [Mycobacterium bovis]	1032536875 
ANZ83465.1	TM+TM	TM+TM	-	270	BEE65_2862	Mycobacterium tuberculosis	bacteria>actinobacteria	Hypothetical protein BEE65_2862 [Mycobacterium tuberculosis]	1050847624 
AOE37154.1	TM+TM	TM+TM	-	270	BEE64_2847	Mycobacterium tuberculosis	bacteria>actinobacteria	Hypothetical protein BEE64_2847 [Mycobacterium tuberculosis]	1057480259 
AOT76883.1	TM+TM	TM+TM	-	270	TM57_01415	Mycobacterium tuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium tuberculosis]	1072833495 
AOZ44032.1	TM+TM	TM+TM	-	270	BTB1458_3035	Mycobacterium tuberculosis	bacteria>actinobacteria	alanine rich transmembrane protein [Mycobacterium tuberculosis]	1092948400 
APR59513.1	TM+TM	TM+TM	-	270	BTU11_15065	Mycobacterium tuberculosis	bacteria>actinobacteria	hypothetical protein BTU11_15065 [Mycobacterium tuberculosis]	1125941257 
BAH27034.1	TM+TM	TM+TM	-	270	JTY_2753	Mycobacterium bovis BCG str. Tokyo 172	bacteria>actinobacteria	putative membrane alanine rich protein [Mycobacterium bovis BCG str. Tokyo 172]	224774228
BAQ06868.1	TM+TM	TM+TM	-	270	KURONO_3085	Mycobacterium tuberculosis str. Kurono	bacteria>actinobacteria	hypothetical protein KURONO_3085 [Mycobacterium tuberculosis str. Kurono]	737519194
CAL72747.1	TM+TM	TM+TM	-	270	BCG_2759c	Mycobacterium bovis BCG str. Pasteur 1173P2	bacteria>actinobacteria	Possible conserved membrane alanine rich protein [Mycobacterium bovis BCG str. Pasteur 1173P2]	121494269
CCC27818.1	TM+TM	TM+TM	-	270	MAF_27480	Mycobacterium africanum GM041182	bacteria>actinobacteria	putative conserved transmembrane alanine rich protein [Mycobacterium africanum GM041182]	339332111
CCC45101.1	TM+TM	TM+TM	-	270	MCAN_27701	Mycobacterium canettii CIPT 140010059	bacteria>actinobacteria	putative conserved transmembrane alanine rich protein [Mycobacterium canettii CIPT 140010059]	340005934
CCC65335.1	TM+TM	TM+TM	-	270	BCGM2742c	Mycobacterium bovis BCG str. Moreau RDJ	bacteria>actinobacteria	possible conserved membrane alanine rich protein [Mycobacterium bovis BCG str. Moreau RDJ]	341602659
CCG12624.1	TM+TM	TM+TM	-	270	MT7199_2776	Mycobacterium tuberculosis 7199-99	bacteria>actinobacteria	putative conserved protein ALANINE RICH protein [Mycobacterium tuberculosis 7199-99]	440582221
CCP45542.1	TM+TM	TM+TM	-	270	Rv2743c	Mycobacterium tuberculosis H37Rv	bacteria>actinobacteria	Possible conserved transmembrane alanine rich protein [Mycobacterium tuberculosis H37Rv]	444896281
CDM11134.1	TM+TM	TM+TM	-	270	MT49_2999	Mycobacterium tuberculosis 49-02	bacteria>actinobacteria	putative CONSERVED TRANSMEMBRANE ALANINE RICH PROTEIN [Mycobacterium tuberculosis 49-02]	702071625
CDO44028.1	TM+TM	TM+TM	-	270	Mb2764c	Mycobacterium bovis AF2122/97	bacteria>actinobacteria	possible conserved transmembrane alanine rich protein [Mycobacterium bovis AF2122/97]	768985193
EBA42952.1	TM+TM	TM+TM	-	270	TBHG_02675	Mycobacterium tuberculosis str. Haarlem	bacteria>actinobacteria	alanine rich transmembrane protein [Mycobacterium tuberculosis str. Haarlem]	134150907
EGE51291.1	TM+TM	TM+TM	-	270	TBPG_002628	Mycobacterium tuberculosis W-148	bacteria>actinobacteria	alanine rich transmembrane protein [Mycobacterium tuberculosis W-148]	326904358
AAS05171.1	SIG+TM+TM	SIG+TM+TM	-	269	MAP_2854c	Mycobacterium avium subsp. paratuberculosis K-10	bacteria>actinobacteria	hypothetical protein MAP_2854c [Mycobacterium avium subsp. paratuberculosis K-10]	41397311
ABK66563.1	SIG+TM+TM	SIG+TM+TM	-	269	MAV_3634	Mycobacterium avium 104	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium avium 104]	118165666
AFC44686.1	SIG+TM+TM	SIG+TM+TM	-	269	OCU_34670	Mycobacterium intracellulare ATCC 13950	bacteria>actinobacteria	hypothetical protein OCU_34670 [Mycobacterium intracellulare ATCC 13950]	378800550
AFC49825.1	SIG+TM+TM	SIG+TM+TM	-	269	OCO_34620	Mycobacterium intracellulare MOTT-02	bacteria>actinobacteria	hypothetical protein OCO_34620 [Mycobacterium intracellulare MOTT-02]	378805690
AFC55096.1	SIG+TM+TM	SIG+TM+TM	-	269	OCQ_35840	Mycobacterium intracellulare MOTT-64	bacteria>actinobacteria	hypothetical protein OCQ_35840 [Mycobacterium intracellulare MOTT-64]	378810962
AFJ36425.1	SIG+TM+TM	SIG+TM+TM	-	269	W7S_17320	Mycobacterium sp. MOTT36Y	bacteria>actinobacteria	hypothetical protein W7S_17320 [Mycobacterium sp. MOTT36Y]	386790306
AFS15514.1	SIG+TM+TM	SIG+TM+TM	-	269	MIP_05210	Mycobacterium indicus pranii MTCC 9506	bacteria>actinobacteria	Hypothetical protein MIP_05210 [Mycobacterium indicus pranii MTCC 9506]	405130259
AGL35900.1	SIG+TM+TM	SIG+TM+TM	-	269	MAP4_0954	Mycobacterium avium subsp. paratuberculosis MAP4	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium avium subsp. paratuberculosis MAP4]	494537011
AGP65042.1	SIG+TM+TM	SIG+TM+TM	-	269	OEM_35070	Mycobacterium yongonense 05-1390	bacteria>actinobacteria	hypothetical protein OEM_35070 [Mycobacterium yongonense 05-1390]	521367207
AHD19464.1	TM+TM	TM+TM	-	269	Y013_01475	Rhodococcus pyridinivorans SB3094	bacteria>actinobacteria	membrane protein [Rhodococcus pyridinivorans SB3094]	568232559
AIR24775.1	SIG+TM+TM	SIG+TM+TM	-	269	LA64_16670	Mycobacterium avium subsp. avium 2285 (S)	bacteria>actinobacteria	membrane protein [Mycobacterium avium subsp. avium 2285 (S)]	690328030
AIR57583.1	SIG+TM+TM	SIG+TM+TM	-	269	LA63_16675	Mycobacterium avium subsp. avium 2285 (R)	bacteria>actinobacteria	membrane protein [Mycobacterium avium subsp. avium 2285 (R)]	690308274
AIT86426.1	SIG+TM+TM	SIG+TM+TM	-	269	LG41_16380	Mycobacterium intracellulare 1956	bacteria>actinobacteria	membrane protein [Mycobacterium intracellulare 1956]	698186550
AIV26021.1	SIG+TM+TM	SIG+TM+TM	-	269	NF84_16525	Mycobacterium avium subsp. avium	bacteria>actinobacteria	membrane protein [Mycobacterium avium subsp. avium]	701191385
AJK74407.1	SIG+TM+TM	SIG+TM+TM	-	269	RC58_04695	Mycobacterium avium subsp. paratuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium avium subsp. paratuberculosis]	756073810
AJK78560.1	SIG+TM+TM	SIG+TM+TM	-	269	RE97_04690	Mycobacterium avium subsp. paratuberculosis	bacteria>actinobacteria	membrane protein [Mycobacterium avium subsp. paratuberculosis]	756082765
AKE89812.1	SIG+TM	SIG+TM	-	269	AAT18_11850	Rhodococcus aetherivorans	bacteria>actinobacteria	membrane protein [Rhodococcus aetherivorans]	816216016
ANH29486.1	SIG+TM+TM	SIG+TM+TM	-	269	A0V42_14610	Mycobacterium avium subsp. paratuberculosis	bacteria>actinobacteria	hypothetical protein A0V42_14610 [Mycobacterium avium subsp. paratuberculosis]	1032998037 
ANR92617.1	SIG+TM+TM	SIG+TM+TM	-	269	BBJ32_15850	Mycobacterium avium	bacteria>actinobacteria	hypothetical protein BBJ32_15850 [Mycobacterium avium]	1043214917 
ANZ25467.1	SIG+TM	SIG+TM	-	269	A4U64_12865	Rhodococcus sp. WB1	bacteria>actinobacteria	hypothetical protein A4U64_12865 [Rhodococcus sp. WB1]	1050287129 
AOD22838.1	TM+TM	TM+TM	-	269	IM25_15535	Rhodococcus sp. p52	bacteria>actinobacteria	hypothetical protein IM25_15535 [Rhodococcus sp. p52]	1052536293 
AOS92972.1	SIG+TM+TM	SIG+TM+TM	-	269	AN480_18350	Mycobacterium chimaera	bacteria>actinobacteria	hypothetical protein AN480_18350 [Mycobacterium chimaera]	1071933269 
APE08842.1	TM+TM	TM+TM	-	269	BO226_06070	Rhodococcus sp. 2G	bacteria>actinobacteria	hypothetical protein BO226_06070 [Rhodococcus sp. 2G]	1108517184 
APT12009.1	SIG+TM+TM	SIG+TM+TM	-	269	BS641_18605	Mycobacterium avium subsp. hominissuis	bacteria>actinobacteria	hypothetical protein BS641_18605 [Mycobacterium avium subsp. hominissuis]	1127838631 
BAN32112.1	SIG+TM+TM	SIG+TM+TM	-	269	MAH_3038	Mycobacterium avium subsp. hominissuis TH135	bacteria>actinobacteria	conserved alanine rich membrane protein [Mycobacterium avium subsp. hominissuis TH135]	508735677
ADG78397.1	SIG+TM	SIG+TM	-	268	Tpau_1779	Tsukamurella paurometabola DSM 20162	bacteria>actinobacteria	conserved hypothetical protein [Tsukamurella paurometabola DSM 20162]	296027627
APB00159.1	TM+TM	TM+TM	-	268	NS506_06122	Nocardia seriolae	bacteria>actinobacteria	hypothetical protein NS506_06122 [Nocardia seriolae]	1098541373 
BAL66788.1	SIG+TM	SIG+TM	-	268	ERDMAN_3008	Mycobacterium tuberculosis str. Erdman = ATCC 35801	bacteria>actinobacteria	hypothetical protein ERDMAN_3008 [Mycobacterium tuberculosis str. Erdman = ATCC 35801]	379029055
AEF36491.1	SIG+TM+TM	SIG+TM+TM	-	267	JDM601_2491	Mycobacterium sinense	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium sinense]	333487099
ADD43906.1	SIG	SIG	-	266	Snas_4257	Stackebrandtia nassauensis DSM 44728	bacteria>actinobacteria	hypothetical protein Snas_4257 [Stackebrandtia nassauensis DSM 44728]	290570941
AEV88063.1	SIG	SIG	-	265	ACPL_7183	Actinoplanes sp. SE50/110	bacteria>actinobacteria	hypothetical protein ACPL_7183 [Actinoplanes sp. SE50/110]	359839622
BAL92142.1	SIG	SIG	-	265	AMIS_69220	Actinoplanes missouriensis 431	bacteria>actinobacteria	hypothetical protein AMIS_69220 [Actinoplanes missouriensis 431]	381375324
AHI00510.1	TM+TM	TM+TM	-	263	KALB_7152	Kutzneria albida DSM 43870	bacteria>actinobacteria	hypothetical protein KALB_7152 [Kutzneria albida DSM 43870]	578012251
AOS62695.1	TM+TM	TM+TM	-	263	TL08_09400	Actinoalloteichus hymeniacidonis	bacteria>actinobacteria	hypothetical protein TL08_09400 [Actinoalloteichus hymeniacidonis]	1070869904 
ACU39608.1	TM+TM	TM+TM	-	262	Amir_5795	Actinosynnema mirum DSM 43827	bacteria>actinobacteria	hypothetical protein Amir_5795 [Actinosynnema mirum DSM 43827]	255924097
ALG12871.1	TM+TM	TM+TM	-	261	AOZ06_43840	Kibdelosporangium phytohabitans	bacteria>actinobacteria	hypothetical protein AOZ06_43840 [Kibdelosporangium phytohabitans]	930835668
APU13975.1	TM+TM	TM+TM	-	261	UA74_09560	Actinoalloteichus sp. ADI127-7	bacteria>actinobacteria	hypothetical protein UA74_09560 [Actinoalloteichus sp. ADI127-7]	1130029654 
APU19921.1	TM+TM	TM+TM	-	261	UA75_09530	Actinoalloteichus sp. GBA129-24	bacteria>actinobacteria	hypothetical protein UA75_09530 [Actinoalloteichus sp. GBA129-24]	1130035601 
AEB43539.1	SIG	SIG	-	260	VAB18032_12125	Verrucosispora maris AB-18-032	bacteria>actinobacteria	hypothetical protein VAB18032_12125 [Verrucosispora maris AB-18-032]	328809367
AGJ68845.1	TM+TM	TM+TM	-	260	J112_14700	Mycobacterium tuberculosis str. Beijing/NITR203	bacteria>actinobacteria	hypothetical protein J112_14700 [Mycobacterium tuberculosis str. Beijing/NITR203]	478742685
ABP53868.1	SIG	SIG	-	259	Strop_1401	Salinispora tropica CNB-440	bacteria>actinobacteria	hypothetical protein Strop_1401 [Salinispora tropica CNB-440]	145303286
ABV97260.1	SIG+TM	SIG+TM	-	259	Sare_1359	Salinispora arenicola CNS-205	bacteria>actinobacteria	conserved hypothetical protein [Salinispora arenicola CNS-205]	157915833
AEH10892.1	-	-	-	259	FsymDg_3613	Frankia symbiont of Datisca glomerata	bacteria>actinobacteria	hypothetical protein FsymDg_3613 [Frankia symbiont of Datisca glomerata]	334860418
AMO61956.1	SIG+TM	SIG+TM	-	258	MPHLCCUG_03151	Mycobacterium phlei	bacteria>actinobacteria	hypothetical protein MPHLCCUG_03151 [Mycobacterium phlei]	1003469994 
ANS27679.1	SIG+TM	SIG+TM	-	258	R1CP_14875	Rhodococcus opacus	bacteria>actinobacteria	hypothetical protein R1CP_14875 [Rhodococcus opacus]	1043689161 
AMY18845.1	SIG+TM	SIG+TM	-	256	A3Q40_01455	Rhodococcus sp. PBTS 1	bacteria>actinobacteria	hypothetical protein A3Q40_01455 [Rhodococcus sp. PBTS 1]	1017208649 
CBH48017.1	SIG+TM	SIG+TM	-	256	REQ_19550	Rhodococcus equi 103S	bacteria>actinobacteria	putative integral membrane protein [Rhodococcus equi 103S]	311888705
CRK58463.1	TM+TM	TM+TM	-	256	-	Alloactinosynnema sp. L-07	bacteria>actinobacteria	POSSIBLE CONSERVED MEMBRANE ALANINE RICH PROTEIN [Alloactinosynnema sp. L-07]	886830791
AKD97519.1	TM+TM	TM+TM	-	254	XU06_12820	Rhodococcus erythropolis	bacteria>actinobacteria	membrane protein [Rhodococcus erythropolis]	808769455
ALU71303.1	TM+TM	TM+TM	-	254	H351_19720	Rhodococcus erythropolis R138	bacteria>actinobacteria	membrane protein [Rhodococcus erythropolis R138]	970865894
ANQ75218.1	TM+TM	TM+TM	-	254	AOT96_24055	Rhodococcus sp. 008	bacteria>actinobacteria	hypothetical protein AOT96_24055 [Rhodococcus sp. 008]	1042835354 
ADL45065.1	SIG	SIG	-	253	Micau_1507	Micromonospora aurantiaca ATCC 27029	bacteria>actinobacteria	hypothetical protein Micau_1507 [Micromonospora aurantiaca ATCC 27029]	302568863
ADU07300.1	SIG	SIG	-	253	ML5_1769	Micromonospora sp. L5	bacteria>actinobacteria	hypothetical protein ML5_1769 [Micromonospora sp. L5]	315409183
AGZ45413.1	SIG	SIG	-	253	AFR_35785	Actinoplanes friuliensis DSM 7358	bacteria>actinobacteria	hypothetical protein AFR_35785 [Actinoplanes friuliensis DSM 7358]	556038166
ABD12886.1	TM	TM	-	252	Francci3_3534	Frankia casuarinae	bacteria>actinobacteria	hypothetical protein Francci3_3534 [Frankia casuarinae]	86569077
AGL20286.1	SIG	SIG	-	250	L083_6776	Actinoplanes sp. N902-109	bacteria>actinobacteria	hypothetical protein L083_6776 [Actinoplanes sp. N902-109]	492008966
APE38574.1	SIG+TM	SIG+TM	-	247	BOX37_20885	Nocardia soli	bacteria>actinobacteria	hypothetical protein BOX37_20885 [Nocardia soli]	1108546925 
AHK30597.1	SIG	SIG	-	187	Pd630_LPD03378	Rhodococcus opacus PD630	bacteria>actinobacteria	hypothetical protein Pd630_LPD03378 [Rhodococcus opacus PD630]	589065738
# 2;	2compsys
ABR73086.1	SIG+PAS_7+HisKA+HATPase_c+Response_reg	SIG+PAS+HISKIN+REC	PAS_7+HisKA+HATPase_c+Response_reg	842	Mmwyl1_4190	Marinomonas sp. MWYL1	bacteria>proteobacteria>gammaproteobacteria	multi-sensor hybrid histidine kinase [Marinomonas sp. MWYL1]	150839110
AEF56296.1	SIG+TM+PAS_7+HisKA+HATPase_c+Response_reg	SIG+TM+PAS+HISKIN+REC	PAS_7+HisKA+HATPase_c+Response_reg	836	Mar181_3276	Marinomonas posidonica IVIA-Po-181	bacteria>proteobacteria>gammaproteobacteria	multi-sensor hybrid histidine kinase [Marinomonas posidonica IVIA-Po-181]	333479635
# 1;	X-TM-X
AMW35423.1	TM+TM	TM+TM+MA	-	892	AY555_09820	Haematospirillum jordaniae	bacteria>proteobacteria>alphaproteobacteria	hypothetical protein AY555_09820 [Haematospirillum jordaniae]	1015669354 
ADL33828.1	SIG+dCache_1+TM+MCPsignal	SIG+CACHE+TM+HAMP+MA	dCache_1+MCPsignal	687	mcpC	Butyrivibrio proteoclasticus B316	bacteria>firmicutes	methyl-accepting chemotaxis protein McpC [Butyrivibrio proteoclasticus B316]	302394923
CCF20403.1	SIG+CHASE3+TM+HATPase_c	SIG+CHASE3+TM+SHELIX+HISKIN	CHASE3+HATPase_c	499	NT26_2679	Rhizobium sp. NT-26	bacteria>proteobacteria>alphaproteobacteria	Sensor protein [Rhizobium sp. NT-26]	430004604
